FRIDAY,,,,
5:30-6pm,Kevin Doupe,Side Stage,,
6-7pm,Uncle Uku and The Guise,Main Stage,,
7-7:30,Tim Ruffo wsg Michaela Clark,Side Stage,,
7:30-8:30,The Smokin' Crows,Main Stage,,
8:30-9:00,Marty ,Side Stage,,
9:00-10:30,Eagle's Tribute,Main Stage,,
10:30:00,Fireside Jam,,,
SATURDAY,,,,
12-1:00,Glenmary's Ghost,Main stage,,
1:00-1:15,George Gleason,Side stage,,
1:15-2:15,Next to Kin,Main stage,,
2:15-2:30,Nick Ruffo,Side stage,,
2:30-3:30,A Part of Pluto,Main stage,,
3:30-3:45,Chris Ruffo  ,Side stage,,
3:45-4:45,J Floyd & The Grave Sitters,Main stage,,
4:45-5:00,Gene Hummel,Side stage,,
5:00-6:00,Mike Davis and LBE,Main stage,,
6:00-6:15,Tim Ruffo,Side stage,,7
6:15-7:15,Woodshed Prophets   ,Main stage,,
7:15-7:45,Under the Rug,Side stage,,
7:45-8:45,Tijuana Danger Dogs,Main stage,,
8:45-9:15,Bootknife,Side stage,,
9:15-10:30,Randy McStine Trio,Main stage,,
10:30,Fireside Jam,,,
